ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
tet(W),3000194,protein homolog model,Resistomes & Variants,Faecalibacterium prausnitzii; Bifidobacterium breve,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
CRP,3000518,protein homolog model,Resistomes & Variants,Serratia rubidaea; Serratia marcescens,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux
RbpA,3000245,protein homolog model,Resistomes & Variants,Rhodococcus rhodochrous; Rhodococcus pyridinivorans; Mycobacterium lepromatosis; Mycolicibacterium fortuitum; Mycobacterium leprae,RbpA bacterial RNA polymerase-binding protein,rifamycin antibiotic,antibiotic target protection
norC,3007010,protein homolog model,Resistomes & Variants,Staphylococcus hominis; Staphylococcus epidermidis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
sepA,3007012,protein homolog model,Resistomes & Variants,Staphylococcus hominis; Staphylococcus haemolyticus; Staphylococcus capitis,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
sdrM,3007013,protein homolog model,Resistomes & Variants,Staphylococcus hominis; Staphylococcus capitis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
vanY gene in vanG cluster,3002959,protein homolog model,Resistomes & Variants,Staphylococcus hominis,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
msrA,3000251,protein homolog model,Resistomes & Variants,Staphylococcus hominis; Staphylococcus epidermidis; Staphylococcus haemolyticus; Staphylococcus massiliensis; Staphylococcus aureus,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,antibiotic target protection
ugd,3003577,protein homolog model,Resistomes & Variants,Escherichia albertii,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
vanR gene in vanO cluster,3002930,protein homolog model,Resistomes & Variants,Nocardia terpenica,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
ErmC,3000250,protein homolog model,Resistomes & Variants,Staphylococcus warneri; Staphylococcus epidermidis; Staphylococcus aureus,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
qacA,3003046,protein homolog model,Resistomes & Variants,Staphylococcus epidermidis; Staphylococcus haemolyticus; Staphylococcus warneri; Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
Pseudomonas aeruginosa soxR,3004107,protein homolog model,Resistomes & Variants,Pseudomonas chlororaphis; Pseudomonas brassicacearum; Rhizobium leguminosarum; Pseudomonas fluorescens; Pseudomonas aeruginosa; Pseudomonas syringae,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic target alteration; antibiotic efflux
vanH gene in vanA cluster,3002942,protein homolog model,Resistomes & Variants,Pseudomonas chlororaphis; Pseudomonas fluorescens,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
poxtA,3004470,protein homolog model,Resistomes & Variants,Enterococcus faecium,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic,antibiotic target protection
arr-3,3002848,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation
patA,3000024,protein homolog model,Resistomes & Variants,Streptococcus pseudopneumoniae,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
patB,3000025,protein homolog model,Resistomes & Variants,Streptococcus pseudopneumoniae,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
LptD,3005059,protein homolog model,Resistomes & Variants,Klebsiella michiganensis; Klebsiella quasipneumoniae,ATP-binding cassette (ABC) antibiotic efflux pump,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,antibiotic efflux
OmpA,3005044,protein homolog model,Resistomes & Variants,Klebsiella michiganensis,General Bacterial Porin with reduced permeability to peptide antibiotics,peptide antibiotic,reduced permeability to antibiotic
Staphylococcus aureus mupA conferring resistance to mupirocin,3000521,protein homolog model,Resistomes & Variants,Staphylococcus aureus; Staphylococcus haemolyticus; Staphylococcus epidermidis,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,antibiotic target alteration
tet(45),3003196,protein homolog model,Resistomes & Variants,Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus haemolyticus,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
FosBx1,3007372,protein homolog model,Resistomes & Variants,Staphylococcus epidermidis,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
vanY gene in vanB cluster,3002956,protein homolog model,Resistomes & Variants,Staphylococcus epidermidis; Streptococcus pneumoniae,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
ArnT,3005053,protein homolog model,Resistomes & Variants,Pseudomonas fluorescens; Pseudomonas aeruginosa,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
H-NS,3000676,protein homolog model,Resistomes & Variants,Klebsiella quasipneumoniae,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,antibiotic efflux
OpmH,3003682,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
OpmB,3004072,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux
Pseudomonas aeruginosa CpxR,3004054,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,antibiotic efflux
MuxA,3004073,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux
MuxB,3004074,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux
MexK,3003693,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
TriC,3003681,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
MexW,3003031,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
TriA,3003679,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
arnA,3002985,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
OprM,3000379,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux
ParS,3005067,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux; reduced permeability to antibiotic
Pseudomonas aeruginosa emrE,3004038,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,small multidrug resistance (SMR) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
