Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
AFJBOJ_18025	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100	98.77	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18030	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTP	165	165	100	98.18	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18900	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.57	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AMADKA_09135	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17810	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17815	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17820	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17825	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17830	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17835	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17840	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17850	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17870	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17875	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17880	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17885	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17890	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17895	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_17900	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_21025	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
AMADKA_21425	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_013403225.1_ASM1340322v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
BAHKBN_05715	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D1244A_S380_L004_Mapped_To_coassembly_bin.004	3D1244A_S380_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	70.2206	g_Pantoea	s_Pantoea piersonii	90.45	9.32	1
BAHKBN_11670	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1244A_S380_L004_Mapped_To_coassembly_bin.004	3D1244A_S380_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	70.2206	g_Pantoea	s_Pantoea piersonii	90.45	9.32	1
BAHKBN_19985	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	474	631	73.53	44.19	473	AAA83977.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase	3D1244A_S380_L004_Mapped_To_coassembly_bin.004	3D1244A_S380_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	70.2206	g_Pantoea	s_Pantoea piersonii	90.45	9.32	1
BMPEFD_01825	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	64.29	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BMPEFD_06675	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	77.86	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BMPEFD_06750	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	813	824	98.79	84.28	814	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BMPEFD_06760	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	96.28	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BMPEFD_06780	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	94.69	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BMPEFD_13670	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_031986405.1_ASM3198640v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
BNEMOL_04830	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_07650	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09475	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09480	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09485	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09490	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09495	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09500	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09505	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09515	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09535	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09540	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09545	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09550	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09555	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09560	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_09565	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_19555	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_23420	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100	99.29	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
BNEMOL_23425	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	337	429	78.55	98.52	337	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA	GCA_020092925.1_ASM2009292v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
DIMLPK_05860	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
DIMLPK_07890	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
DIMLPK_07895	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
DIMLPK_11955	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
DIMLPK_20050	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	PARTIALP	88	143	61.54	87.5	88	AAD11743.1	silver-binding protein SilE	NA	NA	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
DIMLPK_20420	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	PARTIALP	426	491	86.56	98.59	425	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	3D1391A_S94_L004_Mapped_To_coassembly_bin.001	3D1391A_S94_L004	ISS	ISS-Internal Surface	3DMM	node 3	4	85.0195	g_Pantoea	s_Pantoea piersonii	91.44	7.71	1
ECKFMF_01310	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	142	142	100	99.3	142	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NF000063.1	FosB family fosfomycin resistance bacillithiol transferase	3D1295A_S368_L004_Mapped_To_coassembly_bin.003	3D1295A_S368_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	75.9866	g_Pantoea	s_Pantoea piersonii	99.38	5.83	1
ECKFMF_02415	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	327	429	65.97	90.11	283	AAA25637.1	arsenite efflux transporter membrane subunit ArsB	NA	NA	3D1295A_S368_L004_Mapped_To_coassembly_bin.003	3D1295A_S368_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	75.9866	g_Pantoea	s_Pantoea piersonii	99.38	5.83	1
